,roles,companies,locations,experience,skills,skill index
0,Data Scientist - Lead / Architect  Wipro,Wipro,"'Kochi', ' Kolkata', ' Pune', ' Gurgaon', ' Chennai', ' Coimbatore', ' Bangalore', ' Mumbai (All Areas)', 'Hyderabad'",5-10 ,"['_', 'data science', '_', '_', '_', 'python', '_', 'it skills', '_', 'artificial intelligence', '_', '_', '_', 'big data', '_', 'r', '_']",-1.0
1,Urgent Requirement || Data Scientist || Noida,HCL,"'Noida', 'Delhi'",3-8 ,"['_', 'it skills', '_', 'python', '_', 'machine learning', '_', '_', '_', '_', '_']",-1.0
2,Global Tax Automation & Operations - Data Scientist Senior Analyst,Dell,'Bangalore',3-5 ,"['_', 'artificial intelligence', '_', 'data science', '_', '_', '_', 'it skills', '_', 'python', '_', '_', '_', 'machine learning', '_', '_', '_']",-1.0
3,Data Analyst / Data Scientist / Business Analytics / Fresher - MNC,GABA Consultancy services,"'Noida', ' New Delhi', 'Delhi'",0-0 ,"['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
4,Technical Architect/ Data Scientist,DMI Innovations Pvt. Ltd,"'Noida', ' Pune', ' Chennai', 'Bangalore'",8-13 ,"['_', 'it skills', '_', 'python', '_', '_', '_', '_', '_', 'data science', '_', 'machine learning', '_', 'artificial intelligence', '_', '_', '_']",-1.0
5,Technical Architect/ Data Scientist,DMI Innovations Pvt. Ltd,"'Noida', ' Pune', ' Chennai', 'Bangalore'",8-13 ,"['_', 'it skills', '_', 'python', '_', '_', '_', '_', '_', 'data science', '_', 'machine learning', '_', 'artificial intelligence', '_', '_', '_']",-1.0
6,Data Scientist/Senior Scientist - Python/Spark/Hadoop,Connexions,'Gurgaon',2-6 ,"['_', '_', '_', '_', '_', '_', '_', 'it skills', '_', 'python', '_', 'machine learning', '_', '_', '_', 'big data', '_']",-1.0
7,Data Scientist - Lead / Architect  Wipro,Wipro,"'Kochi', ' Kolkata', ' Pune', ' Gurgaon', ' Chennai', ' Coimbatore', ' Bangalore', ' Mumbai (All Areas)', 'Hyderabad'",5-10 ,"['_', 'data science', '_', '_', '_', 'python', '_', 'artificial intelligence', '_', 'r', '_', 'sql', '_', '_', '_', '_', '_']",-1.0
8,Data Analyst / Data Scientist,GUS Global Services,'Gurgaon',3-4 ,"['_', '_', '_', '_', '_', '_', '_', '_', '_', 'python', '_', '_', '_', 'data science', '_', '_', '_']",-1.0
9,Data Scientist / ML Engineer,AVE-Promagne,"'Noida', ' Kota', ' Mumbai', ' Chandigarh', ' Lucknow', ' Agra', ' Gurgaon', ' Jaipur', 'Bangalore'",3-8 ,"['_', '_', '_', 'data science', '_', '_', '_', '_', '_', 'machine learning', '_', '_', '_', '_', '_']",-1.0
10,Data Scientist,TRH Consultancy Services,"'Kolkata', ' Mumbai', ' Nagpur', ' Hyderabad', ' Pune', ' Chennai', ' Coimbatore', ' Bangalore', 'Delhi'",5-10 ,"['_', 'r', '_', 'python', '_', '_', '_', 'it skills', '_', '_', '_', 'machine learning', '_', 'big data', '_', '_', '_']",1.0
11,Lead Data Scientist,NAVIKENZ INDIA PRIVATE LIMITED,"'Hyderabad', ' Bangalore', 'Delhi'",5-10 ,"['_', 'machine learning', '_', '_', '_', 'data science', '_', 'it skills', '_', 'java', '_', 'python', '_', '_', '_', '_', '_']",-1.0
12,Senior Data Scientist,Shell,"'Chennai', 'Bangalore'",6-11 ,"['_', '_', '_', '_', '_', '_', '_', 'data science', '_', '_', '_', 'r', '_', '_', '_', '_', '_']",-1.0
13,Data Scientist,SplashLearn,'Gurgaon',4-9 ,"['_', 'computer science', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'data science', '_', '_', '_', 'machine learning', '_']",-1.0
20,Data Scientist - Lead / Architect  Wipro,Wipro,"'Kochi', ' Kolkata', ' Pune', ' Gurgaon', ' Chennai', ' Coimbatore', ' Bangalore', ' Mumbai (All Areas)', 'Hyderabad'",5-10 ,"['_', 'data science', '_', '_', '_', 'python', '_', 'it skills', '_', 'artificial intelligence', '_', '_', '_', 'big data', '_', 'r', '_']",-1.0
21,Urgent Requirement || Data Scientist || Noida,HCL,"'Noida', 'Delhi'",3-8 ,"['_', 'it skills', '_', 'python', '_', 'machine learning', '_', '_', '_', '_', '_']",-1.0
22,Global Tax Automation & Operations - Data Scientist Senior Analyst,Dell,'Bangalore',3-5 ,"['_', 'artificial intelligence', '_', 'data science', '_', '_', '_', 'it skills', '_', 'python', '_', '_', '_', 'machine learning', '_', '_', '_']",-1.0
23,Data Analyst / Data Scientist / Business Analytics / Fresher - MNC,GABA Consultancy services,"'Noida', ' New Delhi', 'Delhi'",0-0 ,"['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
24,Technical Architect/ Data Scientist,DMI Innovations Pvt. Ltd,"'Noida', ' Pune', ' Chennai', 'Bangalore'",8-13 ,"['_', 'it skills', '_', 'python', '_', '_', '_', '_', '_', 'data science', '_', 'machine learning', '_', 'artificial intelligence', '_', '_', '_']",-1.0
25,Technical Architect/ Data Scientist,DMI Innovations Pvt. Ltd,"'Noida', ' Pune', ' Chennai', 'Bangalore'",8-13 ,"['_', 'it skills', '_', 'python', '_', '_', '_', '_', '_', 'data science', '_', 'machine learning', '_', 'artificial intelligence', '_', '_', '_']",-1.0
26,Data Scientist/Senior Scientist - Python/Spark/Hadoop,Connexions,'Gurgaon',2-6 ,"['_', '_', '_', '_', '_', '_', '_', 'it skills', '_', 'python', '_', 'machine learning', '_', '_', '_', 'big data', '_']",-1.0
27,Data Scientist - Lead / Architect  Wipro,Wipro,"'Kochi', ' Kolkata', ' Pune', ' Gurgaon', ' Chennai', ' Coimbatore', ' Bangalore', ' Mumbai (All Areas)', 'Hyderabad'",5-10 ,"['_', 'data science', '_', '_', '_', 'python', '_', 'artificial intelligence', '_', 'r', '_', 'sql', '_', '_', '_', '_', '_']",-1.0
28,Data Analyst / Data Scientist,GUS Global Services,'Gurgaon',3-4 ,"['_', '_', '_', '_', '_', '_', '_', '_', '_', 'python', '_', '_', '_', 'data science', '_', '_', '_']",-1.0
29,Data Scientist / ML Engineer,AVE-Promagne,"'Noida', ' Kota', ' Mumbai', ' Chandigarh', ' Lucknow', ' Agra', ' Gurgaon', ' Jaipur', 'Bangalore'",3-8 ,"['_', '_', '_', 'data science', '_', '_', '_', '_', '_', 'machine learning', '_', '_', '_', '_', '_']",-1.0
30,Data Scientist,TRH Consultancy Services,"'Kolkata', ' Mumbai', ' Nagpur', ' Hyderabad', ' Pune', ' Chennai', ' Coimbatore', ' Bangalore', 'Delhi'",5-10 ,"['_', 'r', '_', 'python', '_', '_', '_', 'it skills', '_', '_', '_', 'machine learning', '_', 'big data', '_', '_', '_']",1.0
31,Lead Data Scientist,NAVIKENZ INDIA PRIVATE LIMITED,"'Hyderabad', ' Bangalore', 'Delhi'",5-10 ,"['_', 'machine learning', '_', '_', '_', 'data science', '_', 'it skills', '_', 'java', '_', 'python', '_', '_', '_', '_', '_']",-1.0
32,Senior Data Scientist,Shell,"'Chennai', 'Bangalore'",6-11 ,"['_', '_', '_', '_', '_', '_', '_', 'data science', '_', '_', '_', 'r', '_', '_', '_', '_', '_']",-1.0
33,Data Scientist,SplashLearn,'Gurgaon',4-9 ,"['_', 'computer science', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'data science', '_', '_', '_', 'machine learning', '_']",-1.0
34,Data Scientist,Splash M,'Gurgaon',2-6 ,"['_', 'computer science', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'data science', '_', '_', '_', 'machine learning', '_']",-1.0
35,Opportunity For Data Scientist Internship - Bengaluru,Corner Stone Solutions,"'Indore', 'Bangalore'",0-1 ,"['_', '_', '_', '_', '_', '_', '_', 'it skills', '_', 'python', '_', 'data science', '_', '_', '_', '_', '_']",-1.0
36,Sr Data Scientist and Engineer,Sportism,'Chennai',5-8 ,"['_', '_', '_', '_', '_', '_', '_', 'it skills', '_', '_', '_', 'data science', '_', 'machine learning', '_', '_', '_']",-1.0
37,Sr. Data Scientist,Kimberly-Clark Lever Limited,'Bangalore',12-17 ,"['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
38,Sr. Data Scientist,Kimberly-Clark Lever Limited,'Bangalore',10-15 ,"['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
39,"Senior Data Scientist, NLP",Thomson Reuters,'Bangalore',3-6 ,"['_', 'artificial intelligence', '_', '_', '_', 'machine learning', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
40,Senior Data Scientist,Walmart,'Bangalore',5-9 ,"['_', 'it skills', '_', 'python', '_', 'data science', '_', 'machine learning', '_', 'big data', '_', '_', '_', '_', '_', '_', '_']",-1.0
41,Senior Data Scientist,Thomson Reuters,'Bangalore',6-8 ,"['_', 'it skills', '_', 'python', '_', 'data science', '_', 'machine learning', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
42,Senior Data Scientist Payments,Airbnb,'Bangalore',5-10 ,"['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
43,Sr. Data Scientist,Thomson Reuters,'Bangalore',3-6 ,"['_', 'computer science', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
44,Data Scientist,Shell,'Chennai',3-8 ,"['_', 'r', '_', '_', '_', 'python', '_', 'data science', '_', '_', '_', '_', '_', '_', '_', '_', '_']",1.0
45,Data Scientist - R/Python,Serving Skill,'Noida',1-5 ,"['_', 'r', '_', 'python', '_', '_', '_', 'it skills', '_', 'java', '_', '_', '_', 'machine learning', '_', '_', '_']",1.0
46,Data Scientist,cliqhr.com,'Delhi',3-6 ,"['_', 'r', '_', '_', '_', 'python', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",1.0
47,Farfetch - Senior Data Scientist,Farfetch,'NewDelhi',5-9 ,"['_', 'computer science', '_', '_', '_', '_', '_', 'data science', '_', '_', '_', 'machine learning', '_', '_', '_', '_', '_']",-1.0
48,Senior Data Scientist,Grid Logic Software Private Limited,'Gurgaon',5-10 ,"['_', '_', '_', 'it skills', '_', '_', '_', 'computer science', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
49,Senior Data Scientist,Recruiterflow Inc,'Gurgaon',3-8 ,"['_', 'it skills', '_', 'data science', '_', 'machine learning', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
50,Senior Data Scientist,ParallelDots,'Gurgaon',3-8 ,"['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
51,Sr. Data Scientist (15412),Easy Recruit,'Bangalore',8-11 ,"['_', '_', '_', '_', '_', '_', '_', 'it skills', '_', 'python', '_', 'data science', '_', 'machine learning', '_', '_', '_']",-1.0
52,Lead Data Scientist - Machine Learning/ Data Mining,Wrackle Technologies Pvt Ltd,'Bangalore',6-11 ,"['_', 'python', '_', '_', '_', '_', '_', 'r', '_', 'machine learning', '_', '_', '_', '_', '_', '_', '_']",-1.0
53,Analyst / Data Scientist,MilliporeSigma,'Bangalore',2-5 ,"['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'sql', '_']",-1.0
54,Analyst - Data Scientist,UPL,'Mumbai',2-3 ,"['_', '_', '_', '_', '_', 'python', '_', '_', '_', 'data science', '_', '_', '_', '_', '_', '_', '_']",-1.0
55,CarbyneTech - Data Scientist - Machine Learning/Python,CarbyneTech India,'Hyderabad',3-8 ,"['_', 'r', '_', 'python', '_', 'sql', '_', '_', '_', '_', '_', 'machine learning', '_']",1.0
56,Data Scientist,DBS,'Mumbai',2-7 ,"['_', '_', '_', 'r', '_', '_', '_', 'data science', '_', '_', '_', '_', '_', '_', '_', 'machine learning', '_']",-1.0
57,Data Scientist - Immediate Joiners only,MLAI Digital,"'Bangalore', 'Delhi'",3-6 ,"['_', '_', '_', '_', '_', 'big data', '_', 'it skills', '_', '_', '_', 'python', '_', '_', '_', '_', '_']",-1.0
58,Data Scientist,NAVIKENZ INDIA PRIVATE LIMITED,"'Hyderabad', ' Bangalore', 'Delhi'",2-5 ,"['_', '_', '_', '_', '_', '_', '_', 'it skills', '_', 'java', '_', 'python', '_', 'machine learning', '_', '_', '_']",-1.0
59,Sr. Data Scientist- Advanced Analytics/Data Science & Machine Learning,Fidelity IT Jobs,'Gurgaon',7-12 ,"['_', 'data science', '_', 'r', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
60,Data Scientist/ Sr Data Scientist,Connexions,'Gurgaon',2-6 ,"['_', '_', '_', 'r', '_', 'python', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'sql', '_']",-1.0
61,Senior Data Scientist - Product Development Firm - IIT/NIT/BITS,Huquo Consulting Pvt. Ltd,"'Gurgaon', 'Delhi'",5-10 ,"['_', '_', '_', '_', '_', '_', '_', 'data science', '_', 'data scientist', '_', '_', '_', '_', '_', '_', '_']",-1.0
62,Wanted Data Scientists / Senior Data Scientists For our MNC client.,Andre Consultancy Services Private Limited,"'Noida', ' Chennai', 'Bangalore'",2-6 ,"['_', 'python', '_', 'data scientist', '_', 'machine learning', '_', 'it skills', '_', '_', '_', '_', '_', '_', '_', 'r', '_']",-1.0
63,Senior Data Scientist/Data Scientist,Tredence Analytics Solutions Private Limited,"'Gurgaon', ' Chennai', 'Bangalore'",2-7 ,"['_', '_', '_', 'data science', '_', 'machine learning', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
64,Senior Data Scientist,GREAT LAKES E-LEARNING SERVICES PRIVATE LIMITED,"'Gurgaon', 'Bangalore'",5-8 ,"['_', '_', '_', 'data science', '_', 'python', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
65,Senior Marketing Data Scientist,Thomson Reuters,'Hyderabad',4-6 ,"['_', '_', '_', '_', '_', '_', '_', '_', '_', 'data science', '_', 'machine learning', '_', '_', '_', '_', '_']",-1.0
66,Data Scientist: Advanced Analytics,IBM,'Bangalore',2-5 ,"['_', '_', '_', '_', '_', '_', '_', 'data science', '_', '_', '_', '_', '_', 'machine learning', '_', '_', '_']",-1.0
67,Data Scientist: Advanced Analytics,IBM,'Bangalore',5-10 ,"['_', '_', '_', '_', '_', '_', '_', 'data science', '_', '_', '_', '_', '_', 'machine learning', '_', '_', '_']",-1.0
68,Data Scientist: Advanced Analytics,IBM,'Bangalore',2-5 ,"['_', '_', '_', '_', '_', '_', '_', 'data science', '_', '_', '_', '_', '_', 'machine learning', '_', '_', '_']",-1.0
69,Data Scientist: Artificial Intelligence,IBM,'Bangalore',12-15 ,"['_', '_', '_', '_', '_', 'artificial intelligence', '_', '_', '_', '_', '_', 'big data', '_', '_', '_', '_', '_']",-1.0
70,Data Scientist: Artificial Intelligence,IBM,'Bangalore',3-7 ,"['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'artificial intelligence', '_', '_', '_', '_', '_']",-1.0
71,Data Scientist: Advanced Analytics,IBM,'Gurgaon',5-10 ,"['_', 'it skills', '_', 'data science', '_', 'machine learning', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
72,Junior Data Scientist,KWALEE INDIA PRIVATE LIMITED,'Bangalore',1-6 ,"['_', '_', '_', 'data science', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'machine learning', '_', '_', '_']",-1.0
73,Data Scientist,TRH Consultancy Services,"'Kolkata', ' Mumbai', ' Nagpur', ' Hyderabad', ' New Delhi', ' Pune', ' Chennai', ' Coimbatore', 'Bangalore'",11-15 ,"['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'machine learning', '_', '_', '_']",-1.0
74,Data Scientist - NLP/R/Python,AIM recruits,"'Mumbai', ' Pune', ' Chennai', ' Gurgaon', 'Bangalore'",5-7 ,"['_', 'r', '_', '_', '_', 'python', '_', '_', '_', 'artificial intelligence', '_', '_', '_', 'big data', '_', '_', '_']",1.0
75,Lead Data Scientist,TransOrg Solutions Services (P) Ltd.,"'Bangalore', ' Delhi ', 'Mumbai'",4-9 ,"['_', 'r', '_', 'python', '_', 'sql', '_', 'data science', '_', '_', '_', 'artificial intelligence', '_', '_', '_', 'machine learning', '_']",1.0
76,Senior Data Scientist I,Delhivery,'Bangalore',3-7 ,"['_', '_', '_', '_', '_', 'machine learning', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
77,Senior Data Scientist - Regression Modeling,Liquiloans,'Mumbai',4-6 ,"['_', '_', '_', '_', '_', '_', '_', 'data scientist', '_', '_', '_', '_', '_', 'machine learning', '_', '_', '_']",-1.0
78,Data Scientist,Kimberly-Clark Lever Limited,'Bangalore',5-10 ,"['_', '_', '_', '_', '_', '_', '_', '_', '_', 'machine learning', '_', '_', '_', '_', '_', '_', '_']",-1.0
79,Data Scientist,Born Commerce,'Bangalore',5-8 ,"['_', '_', '_', '_', '_', 'python', '_', '_', '_', '_', '_', 'r', '_', 'data science', '_', 'artificial intelligence', '_']",-1.0
80,Data Scientist,Kimberly-Clark Lever Limited,'Bangalore',5-10 ,"['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
81,Data Scientist,Kimberly-Clark Lever Limited,'Bangalore',2-3 ,"['_', '_', '_', '_', '_', 'computer science', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
82,Data Scientist,Glance IT Solution,'Bangalore',3-6 ,"['_', 'machine learning', '_', '_', '_', '_', '_', 'java', '_', '_', '_', '_', '_', '_', '_', 'python', '_']",-1.0
83,Data Scientist,KWALEE INDIA PRIVATE LIMITED,'Bangalore',2-7 ,"['_', '_', '_', 'data science', '_', '_', '_', '_', '_', '_', '_', 'machine learning', '_', '_', '_', '_', '_']",-1.0
84,Data Scientist,Kimberly-Clark Lever Limited,'Bangalore',5-10 ,"['_', '_', '_', '_', '_', '_', '_', '_', '_', 'machine learning', '_', '_', '_', '_', '_', '_', '_']",-1.0
85,"Data Scientist, Data & Analytics",Thomson Reuters,'Bangalore',2-4 ,"['_', '_', '_', '_', '_', '_', '_', '_', '_', 'machine learning', '_', '_', '_', '_', '_', '_', '_']",-1.0
86,Data Scientist,Z2Plus Placement & Security Agency Pvt. Ltd.,'Bangalore',2-3 ,"['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'machine learning', '_', '_', '_', '_', '_']",-1.0
87,Manager Data Analytics or Data Scientist,Thomson Reuters,'Bangalore',4-7 ,"['_', 'data science', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
88,Louis Dreyfus Company Looking For Data Scientist,Louis Dreyfus Commodities,'Bangalore',0-2 ,"['_', 'python', '_', 'sql', '_', '_', '_', '_', '_', 'r', '_', '_', '_', '_', '_', '_', '_']",-1.0
89,Associate Data Scientist,Shell,'Chennai',3-8 ,"['_', '_', '_', 'machine learning', '_', 'python', '_', 'data science', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
90,Associate Professional - Data Scientist / Analytics,Sutherland Global Services Inc,'Hyderabad',4-8 ,"['_', 'it skills', '_', 'big data', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
91,Data Scientist - Lead / Architect  Wipro,Wipro,"'Hyderabad', ' Pune', ' Chennai', 'Bangalore'",5-10 ,"['_', 'python', '_', 'artificial intelligence', '_', '_', '_', '_', '_', 'r', '_', 'sql', '_', '_', '_', 'it skills', '_']",-1.0
92,Lead Data Scientist - Statistical Modeling/Machine Learning,Bigtapp Analytics,'Chennai',5-8 ,"['_', 'data science', '_', '_', '_', '_', '_', 'data scientist', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
93,Data Scientist & Machine Learning Engineer,ASCENT TECHNOSYSTEMS PRIVATE LIMITED,'Pune',0-5 ,"['_', '_', '_', '_', '_', 'machine learning', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
94,Associate Vice President - Data Scientist - IIT/NIT/IIM/XLRI,Huquo Consulting Pvt. Ltd,'Gurgaon',8-12 ,"['_', 'it skills', '_', 'java', '_', 'python', '_', 'machine learning', '_', '_', '_', 'big data', '_', 'data science', '_', '_', '_']",-1.0
95,Associate Vice President - Data Scientist - IIT/ NIT/ IIM/ XLRI,Huquo Consulting Pvt. Ltd,'Gurgaon',8-12 ,"['_', 'it skills', '_', 'java', '_', 'python', '_', 'machine learning', '_', '_', '_', 'big data', '_', 'data science', '_', '_', '_']",-1.0
96,AI Data Scientist,Viral Nation International,'NewDelhi',3-8 ,"['_', 'computer science', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
97,Data Scientist - Python/ MATLAB/ Machine Learning Algorithms,Wrackle Technologies Pvt Ltd,'Bangalore',3-8 ,"['_', 'python', '_', '_', '_', '_', '_', '_', '_', 'machine learning', '_', '_', '_', '_', '_', '_', '_']",-1.0
98,Data Scientist (Consumer Industries),Digilytics AI,'Gurgaon',4-7 ,"['_', 'data science', '_', '_', '_', 'machine learning', '_', 'it skills', '_', 'python', '_', '_', '_', '_', '_', 'r', '_']",-1.0
99,Principal Data Scientist - Machine Learning,Prime Infosoft,'Bangalore',4-9 ,"['_', '_', '_', 'machine learning', '_', '_', '_', 'python', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
100,Data Scientist / Analyst,Talentify,"'Hyderabad', ' Bangalore', 'Delhi'",0-1 ,"['_', 'machine learning', '_', 'python', '_', 'it skills', '_', '_', '_', '_', '_']",-1.0
101,Sr Data Scientist,Fragma data systems pvt ltd,'Bangalore',5-10 ,"['_', '_', '_', '_', '_', 'it skills', '_', '_', '_', 'data scientist', '_', '_', '_', '_', '_']",-1.0
102,Senior Data Scientist,Siemens,'Bangalore',3-8 ,"['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'artificial intelligence', '_', '_', '_', '_', '_']",-1.0
103,Senior Data Scientist (Fintech),NIRA,'Bangalore',4-6 ,"['_', '_', '_', 'data science', '_', '_', '_', '_', '_', 'machine learning', '_', '_', '_', '_', '_', '_', '_']",-1.0
104,Looking For Senior Data Scientist For Denave,Denave India Pvt Ltd.,'Noida',7-12 ,"['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
105,Senior Data Scientist,Sabre,'Bangalore',3-5 ,"['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
106,Data Scientist /Data Analyst For a global leader For Gurgaon/Bangalore,MITR HR Solution,"'Gurgaon', 'Bangalore'",3-8 ,"['_', '_', '_', '_', '_', 'python', '_', '_', '_', '_', '_', '_', '_', 'sql', '_', '_', '_']",-1.0
107,Data Engineer / Data Scientist / Python Developer US-based IT Co,DXFACTOR SOLUTIONS PRIVATE LIMITED,'Ahmedabad\n',5-10 ,"['_', 'python', '_', '_', '_', 'artificial intelligence', '_', 'machine learning', '_', '_', '_', 'data science', '_', '_', '_', '_', '_']",-1.0
108,Data Scientist,First Employer,"'Gurgaon', 'Delhi'",4-8 ,"['_', 'r', '_', '_', '_', 'python', '_', 'it skills', '_', 'data science', '_', 'machine learning', '_', '_', '_', '_', '_']",1.0
109,Manager - Data Scientist - Analytics,Huquo Consulting Pvt. Ltd,'Gurgaon',5-10 ,"['_', '_', '_', '_', '_', 'python', '_', '_', '_', 'data science', '_', '_', '_', '_', '_', 'data scientist', '_']",-1.0
110,Data Scientist - Python/Spark/Neural Networks,Huquo Consulting Pvt. Ltd,'Gurgaon',7-11 ,"['_', '_', '_', '_', '_', 'python', '_', 'it skills', '_', '_', '_', 'data science', '_', 'machine learning', '_', '_', '_']",-1.0
111,Data Scientist - Insurance - IIM/ IIT/ NIT,Huquo Consulting Pvt. Ltd,'Gurgaon',11-16 ,"['_', 'data science', '_', 'data scientist', '_', 'artificial intelligence', '_', '_', '_', 'machine learning', '_', '_', '_', '_', '_', 'python', '_']",-1.0
112,Data Scientist - Insurance - IIM/ IIT/ NIT,Huquo Consulting Pvt. Ltd,'Gurgaon',6-10 ,"['_', 'data science', '_', 'data scientist', '_', 'artificial intelligence', '_', '_', '_', 'machine learning', '_', '_', '_', '_', '_', 'python', '_']",-1.0
113,Data Scientist - Process Excellence & Analytics,Huquo Consulting Pvt. Ltd,'Noida',2-4 ,"['_', 'data science', '_', '_', '_', 'data scientist', '_', '_', '_', '_', '_', '_', '_', 'machine learning', '_', '_', '_']",-1.0
114,Manager - Data Scientist/Python - KPO,Huquo Consulting Pvt. Ltd,'Gurgaon',5-8 ,"['_', '_', '_', '_', '_', 'python', '_', 'data science', '_', '_', '_', 'data scientist', '_', '_', '_', '_', '_']",-1.0
115,Data Scientist - Python - Banking Domain,Huquo Consulting Pvt. Ltd,'Delhi',1-4 ,"['_', '_', '_', '_', '_', '_', '_', '_', '_', 'python', '_', '_', '_', '_', '_', '_', '_']",-1.0
116,Data Scientist - BFSI,Huquo Consulting Pvt. Ltd,"'Gurgaon', 'Delhi'",3-8 ,"['_', 'data science', '_', '_', '_', 'data scientist', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'machine learning', '_']",-1.0
117,Data Scientist - Python - IIT/DSE/IIMS,Huquo Consulting Pvt. Ltd,'Delhi',2-5 ,"['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
118,Data Scientist,Huquo Consulting Pvt. Ltd,"'Gurgaon', 'Delhi'",3-8 ,"['_', 'data science', '_', '_', '_', 'data scientist', '_', '_', '_', '_', '_', 'machine learning', '_', 'sql', '_', 'python', '_']",-1.0
119,Data Scientist - BFSI,Huquo Consulting Pvt. Ltd,"'Gurgaon', 'Delhi'",3-8 ,"['_', 'data science', '_', '_', '_', 'data scientist', '_', '_', '_', '_', '_', 'machine learning', '_', 'sql', '_', 'python', '_']",-1.0
120,Assistant Manager - Data Scientist - Insurance,Huquo Consulting Pvt. Ltd,'Gurgaon',2-7 ,"['_', 'data science', '_', 'r', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
121,Data Scientist - KPO,Huquo Consulting Pvt. Ltd,'Gurgaon',2-4 ,"['_', '_', '_', 'python', '_', 'data scientist', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'r', '_']",-1.0
122,Data Scientist - Python - BFS - IIT/DSE/IIM/NIT,Huquo Consulting Pvt. Ltd,"'Gurgaon', 'Delhi'",2-5 ,"['_', '_', '_', '_', '_', '_', '_', '_', '_', 'python', '_', '_', '_', '_', '_', '_', '_']",-1.0
123,Lead - Data Scientist - Banking Domain - IIT/NIT/BITS,Huquo Consulting Pvt. Ltd,'Gurgaon',4-8 ,"['_', 'data science', '_', '_', '_', 'r', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'machine learning', '_']",-1.0
124,Data Scientist - Deep Learning/Neural Networks,Huquo Consulting Pvt. Ltd,'Gurgaon',6-10 ,"['_', '_', '_', '_', '_', '_', '_', 'it skills', '_', 'python', '_', '_', '_', 'data science', '_', 'machine learning', '_']",-1.0
125,Lead Data Scientist - Deep Learning/Machine Learning,Huquo Consulting Pvt. Ltd,'Gurgaon',2-7 ,"['_', '_', '_', 'machine learning', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
