,roles,companies,locations,experience,skills,skill index
1849,Data Scientist,DECISION POINT PRIVATE LIMITED,"'Gurgaon', 'Chennai\n'",1-6 ,"['_', 'data science', '_', 'artificial intelligence', '_', 'machine learning', '_', 'python', '_']",-1.0
1850,Data Scientist,CNH Industrial,'Gurgaon',1-6 ,"['_', '_', '_']",-1.0
1851,Data & Applied Scientist,Microsoft,"'Noida', ' Hyderabad', 'Bangalore'",3-7 ,"['_', '_', '_', 'data science', '_', '_', '_', 'machine learning', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
1852,Data and applied Scientist,Microsoft,"'Noida', ' Hyderabad', 'Bangalore'",3-7 ,"['_', '_', '_', 'java', '_', '_', '_', '_', '_', '_', '_', 'python', '_', '_', '_', '_', '_']",-1.0
1853,Associate Data Scientist/Data Scientist,JOIN VENTURES SOLUTIONS PRIVATE LIMITED,'Mumbai',1-2 ,"['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'machine learning', '_', '_', '_']",-1.0
1854,NLP Data scientist,TIGI HR Solution,"'Hyderabad', ' Chennai', 'Bangalore'",3-8 ,"['_', '_', '_', 'python', '_', 'sql', '_', 'it skills', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
1855,Principal Data Scientist - Machine Learning,Prime Infosoft,'Bangalore',4-9 ,"['_', '_', '_', 'machine learning', '_', '_', '_', 'it skills', '_', 'python', '_', '_', '_', '_', '_', 'r', '_']",-1.0
1856,Lead Data Scientist,DataTrained,"'Noida', 'Bengaluru'",2-4 ,"['_', 'it skills', '_', 'python', '_', 'machine learning', '_', 'big data', '_', '_', '_', 'computer science', '_', '_', '_', '_', '_']",-1.0
1857,Data Scientist Jr/Mid/Senior,AGILITY HUMAN RESOURCE MANAGEMENT SERVICES PRIVATE LIMITED,"'Delhi ', 'Mumbai'",6-11 ,"['_', '_', '_', 'r', '_', '_', '_', 'python', '_', 'machine learning', '_', '_', '_', '_', '_', '_', '_']",-1.0
1858,Senior Data Scientist,Boston Consulting Group,"'Mumbai', ' Delhi', 'Chennai'",1-2 ,"['_', 'computer science', '_', '_', '_', '_', '_', '_', '_', 'data science', '_', 'artificial intelligence', '_', 'machine learning', '_', '_', '_']",-1.0
1859,Senior Data Scientist ( m / f / d ),Adidas,'Gurgaon',5-10 ,"['_', '_', '_', '_', '_', 'data scientist', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
1860,Senior Data Scientist (m/f/d),Adidas,"'Gurgaon', 'UnitedStates'",5-10 ,"['_', '_', '_', '_', '_', '_', '_', '_', '_', 'machine learning', '_', '_', '_', '_', '_', '_', '_']",-1.0
1861,Data Scientist: Artificial Intelligence,IBM,'Kolkata',4-6 ,"['_', '_', '_', '_', '_', 'artificial intelligence', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'sql', '_']",-1.0
1862,Associate Scientist - Semantic & Data Modeling,Axa XL,'BangaloreEast',3-8 ,"['_', '_', '_']",-1.0
1863,Data Scientist,First Employer,"'Gurgaon', 'Delhi'",4-8 ,"['_', 'r', '_', 'machine learning', '_', 'python', '_', 'it skills', '_', 'data science', '_', '_', '_', '_', '_', '_', '_']",1.0
1864,Data Scientist,First Employer,"'Gurgaon', 'Delhi'",4-8 ,"['_', '_', '_', 'r', '_', '_', '_', 'python', '_', '_', '_', '_', '_', 'machine learning', '_', '_', '_']",-1.0
1865,Data Scientist (freelance),2Coms,"'Chennai', 'Chennai'",3-8 ,"['_', 'it skills', '_', 'java', '_', 'python', '_', 'machine learning', '_', '_', '_', 'data scientist', '_']",-1.0
1866,Data Scientist (freelance),2Coms,"'Hyderabad', 'Hyderabad'",3-8 ,"['_', 'data scientist', '_']",-1.0
1867,Data Scientist - Fraud Prevention & Analytics,Bigshyft Hiring for Payu,"'Mumbai', ' Gurgaon', 'Bangalore'",2-5 ,"['_', '_', '_', '_', '_', '_', '_', '_', '_', 'python', '_']",-1.0
1868,Data Scientist,Smart Source,'Pune',5-10 ,"['_', '_', '_', '_', '_', '_', '_', 'machine learning', '_', 'artificial intelligence', '_', '_', '_', '_', '_', '_', '_']",-1.0
1869,Data Scientist,Fractal Analytics,"'Mumbai', ' New Delhi', 'Bangalore'",3-7 ,"['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
1870,Principal Data Scientist at Quick Heal,Quick Heal,'Pune',10-15 ,"['_', 'it skills', '_', 'data science', '_', 'machine learning', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
1871,Data Scientist,RapidOps,'Ahmedabad',3-5 ,"['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'it skills', '_', 'data science', '_', 'machine learning', '_']",-1.0
1872,Data Scientist,RapidOps,'Ahmedabad',3-5 ,"['_', 'it skills', '_', 'data science', '_', 'machine learning', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
1873,Manager Data Scientist | GeakMinds | Chennai,Geakminds Technologies Private Limited,'Chennai',11-15 ,"['_', 'python', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
1874,"Hiring For "" Data Scientist"" @ Jumio, Jaipur",Jumio,'Jaipur',4-6 ,"['_', 'r', '_', '_', '_', '_', '_', '_', '_', 'python', '_', 'sql', '_']",1.0
1875,Data Scientist - Growth and Marketing Data Team,Confluent,'Remote',2-6 ,"['_', 'it skills', '_', 'python', '_', '_', '_', 'data science', '_', 'machine learning', '_', '_', '_', 'computer science', '_', '_', '_']",-1.0
1876,Data Scientist,ARIMAX GLOBAL PRIVATE LIMITED,"'Mumbai', ' Mumbai Suburban', 'Mumbai'",1-4 ,"['_', '_', '_', 'java', '_', 'python', '_', 'r', '_', '_', '_', '_', '_', 'big data', '_', 'artificial intelligence', '_']",-1.0
1877,Expert Data Scientist(NLP+ML+Python),TomTom,'Pune\n',8-12 ,"['_', 'it skills', '_', 'python', '_', '_', '_', 'data science', '_', 'machine learning', '_', 'big data', '_', '_', '_', '_', '_']",-1.0
1878,Data Scientist,Resilinc,'Pune',4-7 ,"['_', '_', '_', '_', '_', '_', '_', '_', '_', 'data science', '_', '_', '_', '_', '_', '_', '_']",-1.0
1879,Hiring Data Scientist/Data Analytics For Reliance Retail Mumbai,Reliance Retail,'Mumbai',5-10 ,"['_', '_', '_', 'data science', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
1880,Data Scientist - Supply Chain Analytics,ASIA STAR EXPORT SERVICES PRIVATE LIMITED,'Remote',4-9 ,"['_', 'data scientist', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
1881,JOB Opportunity -DATA Scientist-Blazeclan Technologies -PUNE,BLAZECLAN TECHNOLOGIES PRIVATE LIMITED,'Pune',5-8 ,"['_', 'machine learning', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
1882,Data scientist,SMECLabs Trivandrum,'Hyderabad',1-3 ,"['_', '_', '_', '_', '_', '_', '_', 'machine learning', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
1883,Data Scientist Associate/Analyst/Consultant,ONPASSIVE Technologies Pvt. Ltd,'Hyderabad',2-7 ,"['_', 'python', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'machine learning', '_', '_', '_', 'it skills', '_']",-1.0
1884,Data Science - Senior Data Scientist,Paytm,"'Noida', 'Bangalore'",2-4 ,"['_', 'data science', '_', '_', '_', 'r', '_', 'data scientist', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
1885,Urgent hiring of Senior Manager - Data Scientist,Concerix Technologies Private Limited,"'Gurgaon', 'Bangalore'",5-8 ,"['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
1886,Senior Data Scientist,STATXO,"'Gurgaon', 'Bengaluru'",4-6 ,"['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
1887,Senior Data Scientist,Urban Company,"'Gurgaon', 'Bangalore'",5-9 ,"['_', '_', '_', '_', '_', '_', '_', 'python', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
1888,Data Scientist: Advanced Analytics,IBM,'Delhi',5-7 ,"['_', 'it skills', '_', 'data science', '_', 'machine learning', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
1889,Data Scientist,KPIT,'Pune',5-8 ,"['_', 'data science', '_', 'python', '_', '_', '_']",-1.0
1890,Multiple Roles For Data Scientist For A Leading MNC,Mississippi Consultants,"'Hyderabad', ' Pune', ' Chennai', 'Mumbai'",5-8 ,"['_', '_', '_', '_', '_', 'sql', '_', 'it skills', '_', 'python', '_', 'machine learning', '_', 'big data', '_', '_', '_']",-1.0
1891,Data Scientist,Adept Global,"'Mumbai', 'Thane'",2-7 ,"['_', 'data science', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'data scientist', '_']",-1.0
1892,Senior Scientist/ NLP/ Machine Learning/ Data Mining Professional,Career Maker,'Bangalore',2-7 ,"['_', 'it skills', '_', 'java', '_', 'python', '_', '_', '_', 'machine learning', '_', '_', '_', 'r', '_', '_', '_']",-1.0
1893,Sr Data Scientist,Uber,'Bangalore',8-9 ,"['_', 'computer science', '_', '_', '_', '_', '_', '_', '_', 'machine learning', '_', '_', '_', '_', '_', 'sql', '_']",-1.0
1894,Senior Data Scientist,GSK India,'Bangalore',10-20 ,"['_', '_', '_', '_', '_', '_', '_', '_', '_', 'artificial intelligence', '_', '_', '_', 'machine learning', '_', '_', '_']",-1.0
1895,Sr. Data Scientist,Signify,'Bangalore',4-9 ,"['_', '_', '_', 'computer science', '_', '_', '_', '_', '_', 'machine learning', '_', '_', '_', '_', '_', '_', '_']",-1.0
1896,Cognitive/AI Senior Data Scientist,IBM,'Bengaluru',4-8 ,"['_', '_', '_', '_', '_', '_', '_', 'machine learning', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
1897,Senior Risk Data Scientist,GSK India,'Bangalore',5-10 ,"['_', '_', '_', 'python', '_', 'sql', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'machine learning', '_']",-1.0
1898,Senior Python Developer / Data Scientist,Nikah Forever,'NewDelhi',4-5 ,"['_', '_', '_']",-1.0
1899,Data Scientist,Job Booster Social India private limited,"'Hyderabad', ' Pune', 'Bangalore'",1-6 ,"['_', '_', '_', 'sql', '_', 'python', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'machine learning', '_']",-1.0
1900,Data Scientist - Medical Image Processing,PROVISION CONSULTING,'Bangalore',3-8 ,"['_', '_', '_', 'python', '_', 'artificial intelligence', '_', '_', '_', '_', '_', 'machine learning', '_', '_', '_', 'data science', '_']",-1.0
